epoch,train_loss,val_loss,precision_0,recall_0,f1_0,support_0,precision_1,recall_1,f1_1,support_1,macro_f1
1,0.1206867947565535,0.020650951836544734,0.9975903614457832,1.0,0.9987937273823885,414.0,0.0,0.0,0.0,1.0,0.49939686369119424
2,0.01569874646464506,0.01708327527516163,0.9975903614457832,1.0,0.9987937273823885,414.0,0.0,0.0,0.0,1.0,0.49939686369119424
3,0.013877856410824908,0.016903982390291415,0.9975903614457832,1.0,0.9987937273823885,414.0,0.0,0.0,0.0,1.0,0.49939686369119424
4,0.013203943260193158,0.01702518417285039,0.9975903614457832,1.0,0.9987937273823885,414.0,0.0,0.0,0.0,1.0,0.49939686369119424
5,0.013427748752292246,0.01712059961237873,0.9975903614457832,1.0,0.9987937273823885,414.0,0.0,0.0,0.0,1.0,0.49939686369119424
6,0.013376407468548188,0.017176853734641694,0.9975903614457832,1.0,0.9987937273823885,414.0,0.0,0.0,0.0,1.0,0.49939686369119424
7,0.013417703095071305,0.01719976050886684,0.9975903614457832,1.0,0.9987937273823885,414.0,0.0,0.0,0.0,1.0,0.49939686369119424
8,0.013434696853017578,0.017243713480778612,0.9975903614457832,1.0,0.9987937273823885,414.0,0.0,0.0,0.0,1.0,0.49939686369119424
9,0.0130701051295126,0.01726836716541304,0.9975903614457832,1.0,0.9987937273823885,414.0,0.0,0.0,0.0,1.0,0.49939686369119424
10,0.013355456950823562,0.017164828515468307,0.9975903614457832,1.0,0.9987937273823885,414.0,0.0,0.0,0.0,1.0,0.49939686369119424
11,0.013103118687957669,0.01717110871014973,0.9975903614457832,1.0,0.9987937273823885,414.0,0.0,0.0,0.0,1.0,0.49939686369119424
12,0.013846154653807528,0.01681422147577485,0.9975903614457832,1.0,0.9987937273823885,414.0,0.0,0.0,0.0,1.0,0.49939686369119424
13,0.013171025063806715,0.015462853614455806,0.9975903614457832,1.0,0.9987937273823885,414.0,0.0,0.0,0.0,1.0,0.49939686369119424
14,0.010932903533102944,0.008494569078231087,0.9975903614457832,1.0,0.9987937273823885,414.0,0.0,0.0,0.0,1.0,0.49939686369119424
15,0.006650462919004405,0.01730175044101018,0.9975903614457832,1.0,0.9987937273823885,414.0,0.0,0.0,0.0,1.0,0.49939686369119424
16,0.007097404526295857,0.006643062188791541,0.9975903614457832,1.0,0.9987937273823885,414.0,0.0,0.0,0.0,1.0,0.49939686369119424
17,0.004747567346874768,0.0024427570125016454,0.9975903614457832,1.0,0.9987937273823885,414.0,0.0,0.0,0.0,1.0,0.49939686369119424
18,0.003220244836903965,0.002043839409732475,1.0,1.0,1.0,414.0,1.0,1.0,1.0,1.0,1.0
19,0.0026000998511265675,0.0017621974335410274,1.0,1.0,1.0,414.0,1.0,1.0,1.0,1.0,1.0
20,0.0023333971173717426,0.001647147869404692,1.0,1.0,1.0,414.0,1.0,1.0,1.0,1.0,1.0
