label,n,count_coder1,count_coder2,prev_coder1,prev_coder2,percent_agree,cohens_kappa,scotts_pi,gwet_ac1,krippendorff_alpha,f1_agreement
Cult_1_SUB,1000,29,25,0.029,0.025,0.984,0.696,0.695,0.968,0.695,0.704
Cult_2_SUB,1000,11,0,0.011,0.000,0.989,0.000,-0.006,0.978,0.989,0.000
Cult_3_SUB,1000,8,4,0.008,0.004,0.996,0.665,0.665,0.992,0.665,0.667
Cult_4_SUB,1000,4,2,0.004,0.002,0.998,0.666,0.666,0.996,0.666,0.667
Cult_Detection,1000,52,30,0.052,0.030,0.968,0.594,0.593,0.936,0.593,0.610
Eco_1_SUB,1000,57,50,0.057,0.050,0.969,0.694,0.694,0.938,0.694,0.710
Eco_2_SUB,1000,14,14,0.014,0.014,0.998,0.928,0.928,0.996,0.928,0.929
Eco_3_SUB,1000,58,41,0.058,0.041,0.953,0.501,0.501,0.906,0.501,0.525
Eco_4_SUB,1000,53,26,0.053,0.026,0.959,0.462,0.460,0.918,0.460,0.481
Eco_5_SUB,1000,101,46,0.101,0.046,0.911,0.354,0.347,0.822,0.347,0.395
Eco_Detection,1000,249,179,0.249,0.179,0.866,0.605,0.602,0.732,0.602,0.687
Emotion:_Negative,1000,316,361,0.316,0.361,0.795,0.543,0.542,0.590,0.542,0.697
Emotion:_Neutral,1000,601,522,0.601,0.522,0.723,0.441,0.437,0.446,0.437,0.753
Emotion:_Positive,1000,75,112,0.075,0.112,0.907,0.454,0.451,0.814,0.451,0.503
Envt_1_SUB,1000,46,18,0.046,0.018,0.960,0.358,0.354,0.920,0.354,0.375
Envt_2_SUB,1000,46,24,0.046,0.024,0.960,0.410,0.408,0.920,0.408,0.429
Envt_Detection,1000,60,42,0.060,0.042,0.952,0.505,0.504,0.904,0.504,0.529
Event_1_SUB,1000,56,42,0.056,0.042,0.972,0.700,0.700,0.944,0.700,0.714
Event_2_SUB,1000,85,65,0.085,0.065,0.954,0.669,0.668,0.908,0.668,0.693
Event_3_SUB,1000,100,112,0.100,0.112,0.958,0.778,0.778,0.916,0.778,0.802
Event_4_SUB,1000,49,45,0.049,0.045,0.976,0.732,0.732,0.952,0.732,0.745
Event_5_SUB,1000,82,111,0.082,0.111,0.913,0.502,0.501,0.826,0.501,0.549
Event_6_SUB,1000,29,25,0.029,0.025,0.990,0.810,0.810,0.980,0.810,0.815
Event_7_SUB,1000,40,35,0.040,0.035,0.981,0.737,0.737,0.962,0.737,0.747
Event_8_SUB,1000,38,28,0.038,0.028,0.984,0.749,0.749,0.968,0.749,0.758
Event_Detection,1000,423,436,0.423,0.436,0.837,0.667,0.667,0.674,0.667,0.810
Just_1_SUB,1000,40,9,0.040,0.009,0.965,0.275,0.268,0.930,0.268,0.286
Just_2_SUB,1000,52,25,0.052,0.025,0.973,0.637,0.635,0.946,0.635,0.649
Just_3_SUB,1000,43,44,0.043,0.044,0.973,0.676,0.676,0.946,0.676,0.690
Just_4_SUB,1000,55,5,0.055,0.005,0.944,0.058,0.038,0.888,0.038,0.067
Just_5_SUB,1000,33,22,0.033,0.022,0.981,0.645,0.645,0.962,0.645,0.655
Just_Detection,1000,136,94,0.136,0.094,0.926,0.638,0.636,0.852,0.636,0.678
Location_Detection,1000,490,516,0.490,0.516,0.938,0.876,0.876,0.876,0.876,0.938
Messenger_1_SUB,1000,40,39,0.040,0.039,0.985,0.802,0.802,0.970,0.802,0.810
Messenger_2_SUB,1000,60,74,0.060,0.074,0.960,0.680,0.680,0.920,0.680,0.701
Messenger_3_SUB,1000,22,18,0.022,0.018,0.980,0.490,0.490,0.960,0.490,0.500
Messenger_4_SUB,1000,26,23,0.026,0.023,0.985,0.686,0.686,0.970,0.686,0.694
Messenger_5_SUB,1000,39,52,0.039,0.052,0.971,0.666,0.666,0.942,0.666,0.681
Messenger_6_SUB,1000,92,121,0.092,0.121,0.925,0.607,0.606,0.850,0.606,0.648
Messenger_7_SUB,1000,41,41,0.041,0.041,0.966,0.568,0.568,0.932,0.568,0.585
Messenger_8_SUB,1000,69,76,0.069,0.076,0.949,0.621,0.621,0.898,0.621,0.648
Messenger_9_SUB,1000,222,231,0.222,0.231,0.863,0.609,0.609,0.726,0.609,0.698
Messenger_Detection,1000,613,681,0.613,0.681,0.868,0.712,0.711,0.736,0.711,0.898
Pbh_1_SUB,1000,52,43,0.052,0.043,0.981,0.790,0.790,0.962,0.790,0.800
Pbh_3_SUB,1000,10,3,0.010,0.003,0.991,0.304,0.303,0.982,0.303,0.308
Pbh_Detection,1000,58,46,0.058,0.046,0.980,0.797,0.797,0.960,0.797,0.808
Pol_1_SUB,1000,74,78,0.074,0.078,0.922,0.445,0.445,0.844,0.445,0.487
Pol_2_SUB,1000,367,207,0.367,0.207,0.788,0.498,0.482,0.576,0.482,0.631
Pol_3_SUB,1000,60,27,0.060,0.027,0.937,0.248,0.243,0.874,0.243,0.276
Pol_4_SUB,1000,27,15,0.027,0.015,0.988,0.709,0.708,0.976,0.708,0.714
Pol_Detection,1000,384,288,0.384,0.288,0.834,0.632,0.628,0.668,0.628,0.753
RED_Detection,1000,48,6,0.048,0.006,0.956,0.176,0.163,0.912,0.163,0.185
Sci_1_SUB,1000,64,14,0.064,0.014,0.948,0.318,0.306,0.896,0.306,0.333
Sci_2_SUB,1000,99,86,0.099,0.086,0.917,0.506,0.506,0.834,0.506,0.551
Sci_3_SUB,1000,21,6,0.021,0.006,0.981,0.290,0.287,0.962,0.287,0.296
Sci_4_SUB,1000,19,14,0.019,0.014,0.989,0.661,0.661,0.978,0.661,0.667
Sci_Detection,1000,149,119,0.149,0.119,0.902,0.579,0.578,0.804,0.578,0.634
Secu_1_SUB,1000,4,3,0.004,0.003,0.995,0.283,0.283,0.990,0.283,0.286
Secu_2_SUB,1000,4,0,0.004,0.000,0.996,0.000,-0.002,0.992,0.996,0.000
Secu_3_SUB,1000,29,24,0.029,0.024,0.991,0.826,0.826,0.982,0.826,0.830
Secu_4_SUB,1000,15,11,0.015,0.011,0.996,0.844,0.844,0.992,0.844,0.846
Secu_Detection,1000,49,35,0.049,0.035,0.982,0.777,0.776,0.964,0.776,0.786
Solutions_1_SUB,1000,204,165,0.204,0.165,0.913,0.712,0.711,0.826,0.711,0.764
Solutions_2_SUB,1000,45,32,0.045,0.032,0.973,0.636,0.635,0.946,0.635,0.649
Solutions_Detection,1000,247,188,0.247,0.188,0.897,0.699,0.697,0.794,0.697,0.763
