person,mentions,degree_centrality,betweenness_centrality,eigenvector_centrality,weighted_degree,community
Justin Trudeau,1485,0.899,0.0657,0.5715,3801,2
Pierre Poilievre,933,0.8182,0.0488,0.5077,2884,2
Donald Trump,793,0.6667,0.07,0.3196,1921,5
Joe Biden,479,0.5253,0.0582,0.2353,1299,5
Steven Guilbeault,420,0.4949,0.0565,0.1997,962,2
Doug Ford,382,0.5051,0.033,0.1765,982,1
Danielle Smith,317,0.5152,0.0592,0.1726,976,2
Jagmeet Singh,238,0.5253,0.0698,0.1997,917,2
David Eby,216,0.2626,0.0048,0.0805,589,4
Kamala Harris,215,0.3131,0.0565,0.1277,674,5
Chrystia Freeland,190,0.3838,0.0761,0.1368,565,2
François Legault,171,0.2121,0.0211,0.0383,260,0
John Rustad,156,0.1919,0.0007,0.0542,514,4
Stephen Harper,156,0.3434,0.034,0.111,473,2
Jonathan Wilkinson,143,0.3333,0.0655,0.0686,339,2
Vladimir Putin,127,0.2929,0.0433,0.0773,383,5
Wab Kinew,118,0.2121,0.0304,0.0548,260,2
Elon Musk,99,0.2121,0.0337,0.0409,223,5
Olivia Chow,90,0.1313,0.0189,0.0226,113,1
Scott Moe,90,0.1818,0.0037,0.0615,267,2
Brian Mulroney,83,0.2828,0.0308,0.0574,328,6
Mark Carney,73,0.2222,0.0564,0.06,224,2
Benoit Charette,71,0.1111,0.0107,0.0104,104,0
Yves Giroux,71,0.0909,0.0012,0.0406,183,2
Barack Obama,69,0.1515,0.0084,0.0418,209,5
Kevin Falcon,66,0.1212,0.0001,0.0225,276,4
Valérie Plante,64,0.0808,0.0007,0.0108,72,0
Taylor Swift,60,0.1919,0.0266,0.0243,139,5
Jasper,60,0.101,0.0119,0.011,73,2
António Guterres,58,0.0808,0.0037,0.0097,46,5
Giroux,56,0.0909,0.0085,0.034,165,2
Emmanuel Macron,56,0.0909,0.0006,0.0183,81,5
Helene,55,0.0808,0.0004,0.008,79,5
Rachel Notley,54,0.1515,0.0021,0.0263,189,2
Northvolt,52,0.0404,0.0,0.0033,56,0
Bill Blair,51,0.101,0.0016,0.0215,106,0
Sonia Furstenau,50,0.0909,0.0011,0.0089,132,4
Mélanie Joly,49,0.1717,0.0189,0.0333,164,0
Chris Varcoe,49,0.1212,0.0024,0.0146,96,2
Rebecca Schulz,48,0.101,0.002,0.0145,83,2
Bonnie Crombie,48,0.1717,0.0158,0.0384,195,1
Blaine Higgs,47,0.0909,0.0012,0.0216,93,2
Charlie Angus,47,0.1414,0.0164,0.0202,101,2
Johnson,47,0.101,0.0074,0.0097,65,6
Gwynne Dyer,47,0.0404,0.0,0.0042,27,5
Tim Walz,47,0.1313,0.004,0.0301,178,5
Tim Houston,46,0.0606,0.0043,0.0092,35,2
Ronald Reagan,46,0.2222,0.005,0.0298,216,6
Falcon,45,0.1111,0.0013,0.0156,214,4
Stewart,45,0.0909,0.0091,0.0096,43,1
Pierre Trudeau,44,0.1717,0.0054,0.0369,169,6
Jason Kenney,44,0.202,0.0327,0.0273,152,2
Mulroney,43,0.1515,0.0013,0.0262,173,6
Xi Jinping,42,0.1313,0.0146,0.0184,114,5
François-Philippe Champagne,42,0.1414,0.0216,0.0274,107,2
Christy Clark,42,0.1818,0.0059,0.0205,195,4
Jean Chrétien,42,0.1818,0.0104,0.0317,166,6
Kennedy,42,0.101,0.0,0.0193,96,5
Don Braid,42,0.1818,0.0038,0.0246,163,2
Todd Smith,42,0.1212,0.0,0.0158,121,1
Catherine McKenna,41,0.1717,0.0191,0.0266,113,2
Elizabeth May,39,0.1818,0.0197,0.0196,113,2
Yves-François Blanchet,39,0.1313,0.0019,0.0401,153,2
Trevor Tombe,39,0.1313,0.004,0.0266,112,2
Consultezle,37,0.0303,0.004,0.0043,11,2
Benjamin Netanyahu,37,0.1414,0.0013,0.0206,120,5
Angus Reid,37,0.1515,0.006,0.0215,151,4
Mike Schreiner,37,0.0707,0.0008,0.0049,73,1
Keith Stewart,37,0.1313,0.0128,0.0087,81,1
Margaret Thatcher,37,0.1414,0.0031,0.0206,126,6
Ron Desantis,36,0.1414,0.0304,0.0135,79,5
Bill Gates,35,0.0909,0.028,0.0086,40,5
Hillary Clinton,35,0.1212,0.0041,0.0181,98,5
Pierre Fitzgibbon,35,0.0404,0.0,0.003,43,0
Milton,34,0.0707,0.0024,0.0062,67,5
Crombie,34,0.101,0.0105,0.0236,129,1
David Coletto,34,0.1212,0.0026,0.0342,139,2
Fraser,34,0.0606,0.0039,0.0063,24,1
Sylvain Charlebois,33,0.0202,0.0,0.004,10,2
Gordon Campbell,33,0.1515,0.0076,0.0159,152,4
Tracy Schmidt,33,0.0101,0.0,0.0005,11,2
Taylor,33,0.0505,0.0201,0.0036,17,1
Flavio Volpe,32,0.0909,0.0,0.0241,108,1
John Horgan,32,0.101,0.0,0.008,125,4
David Phillips,32,0.0303,0.0,0.004,12,1
Sarah Hoffman,31,0.101,0.0,0.0153,126,2
Stephen Lecce,31,0.0404,0.0003,0.0036,47,1
Andrew Furey,31,0.1515,0.0064,0.0284,134,2
Tiff Macklem,31,0.0808,0.0025,0.0139,52,2
Sean Kilpatrick,30,0.1111,0.0033,0.0266,94,2
Naheed Nenshi,30,0.101,0.0,0.0146,107,2
Marco Chown Oved,30,0.0303,0.0086,0.0041,20,1
Mother Nature,30,0.0404,0.0098,0.0019,14,5
Harjit Sajjan,30,0.0505,0.0053,0.0037,25,2
Kathleen Ganley,29,0.101,0.0001,0.014,120,2
Olaf Scholz,29,0.0707,0.0,0.0151,67,5
Greta Thunberg,29,0.0,0.0,0.0,0,3
Coletto,29,0.1111,0.0006,0.0319,128,2
Bloomberg,29,0.101,0.0096,0.0116,60,5
Heather Exner-Pirot,29,0.0909,0.0015,0.0142,59,2
